image_path,label
E:\FullStack\SatyaMark\AI\dataset\train\real\-man-sits-with-a-woman-on-her-phone-at-a-table-while-looking-at-a-computer_l.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\-Skills-Promo-A-Total-Artist-All-of-North-Wests-Impressive-Drawings-Photos-5.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\.amazonaws.com2Fpublic2Fimages2Fcb32a00a-bf52-48fe-9ba6-4e21cf4c1c57_800x800.png,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0001.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0002.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0003.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0004.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0005.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0006.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0007.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0008.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0009.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0010.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0011.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0012.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0013.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0014.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0015.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0016.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0017.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0018.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0019.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0020.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0021.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0022.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0023.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0024.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0025.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0026.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0027.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0028.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0029.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0030.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0031.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0032.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0033.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0034.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0035.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0036.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0037.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0038.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0039.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0040.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0041.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0042.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0043.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0044.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0045.jpg,0
E:\FullStack\SatyaMark\AI\dataset\train\real\0046.jpg,0
